subject|body|topic
environment|Der Umwelt zuliebe: Bitte berlegen Sie, ob diese Mail unbedingt ausgedruckt werden muss! Die mit dieser E-Mail-Kommunikation erhobenen personenbezogenen Daten werden ausschlielich zu diesem Zweck bzw. zur Bearbeitung Ihres Anliegens weiterverarbeitet.|Collateral Delivery
Collateral Confirmation Notice notice for Variation Demand for COB 15 August 2022|Dear client, Please find attached a Collateral Confirmation Notice notice for Variation Demand for COB 15 August 2022. Kind regards, KBC Bank N.V. Collateral department, Email: collateral@kbc.be Phone: +32 2 448 02 91|Collateral Delivery
we are due to pay eur 752. 14|dear sir / madam, please find your interest statement for period 01 jul 2022 to 31 jul 2022 inclusive 202 barclays is showing that : we are due to pay eu : 752. 14. contactrs collateral inte attachments : accrualsummary report for deka - spk 1 global acc as at 01 aug 2022. pdf # 14 kb #|Interest Income
Margin Delivery/Return|"Please find attached:
Margin Delivery/Return from MFR F1 DI. to DekaBank Deutsche Girozentrale. AND THE ACCESS CODE IS THE FUND ID.

 Anfrage an uns nicht innerhalb der Geschaeftszeiten (09.00-17.00 Uhr) binnen 2 Stunden beantwortet werden, kontaktieren Sie uns bitte unter 0049 69"|Margin Call
We will return EUR cash 6,300,000|"Hello,
We fully agree with your call of EUR 6,300,000
We will return EUR cash 6,300,000 VD 17/9
Kind regards,"|Margin Recall
you are are to pay eur 85. 63|jul 2022 to 31 jul to2 inclusive, barclays 2 showing that : you are due to pay eur 85. 63. contact barclays # interest team to confirm. agreement by replying to this email. best regards, barclays reply management|Interest Payment
Collateral Management|"Good Morning,
Please see the attached delivery notice relating to the CSA between Deutsche Pfandbriefbank AG and DEKABANK Deutsche Girozentrale.
 Please advise your agreement to CollateralPfandbriefbank@Pfandbriefbank.com.
 Counterparty to Return
Regards,
Collateral Management
Deutsche Pfandbriefbank AG"|Exposure Return
your Margin Call|"Dear all,
Please note, we dispute your Margin Call either in full or in part.
 For details, please refer to the attachment.
"|Margin Call
margin call|"Hello,
We fully agree with your margin call and we will return EUR 610,000 for value date today.
"|Margin Recall
you are due to to eur 85. 63|jul 2022 to 31 jul 2022 inclusive, barclays is inclusive that : you are due to pay thatr 85. 63. contact barclays collateral interest team to confirm your agreement by replying to this email. best regards, agreements collateral management|Interest Payment
the attention and use of the named addressee|"Please review the Margin Call and confirm your agreement with a proposal on collateral exchange.
 Central Collateral Management
100, Blvd. If you are not the intended recipient, you are hereby notified that you have received this transmittal in error and that any use of it is prohibited."|Collateral Delivery
you are due to to eur 85. 63|jul 202 202 to 31 jul 2022 inclusive, barclays is showing that : you are due to pay eur 85. 63 barclay contact #s collateral interest team to confirm your agreement by replying to this email. best regards by barclay # collateral management|Interest Payment
DekaBank Deutsche Girozentrale|"Please find attached:
Confirmation Letter from WestInvest ImmoValue tO. to DekaBank Deutsche Girozentrale. AND THE ACCESS CODE IS THE FUND ID.

 Sollte Ihre Mail bzw."|Exposure Return
Margin Call|"Please find attached:
Margin Call from DONAU-Multi-Asset-FundMaster U01 Aktien to DekaBank Deutsche Girozentrale for EUR 50.000,00 This email has been sent by DONAU-Multi-Asset-FundMaster U01 Aktien.
 AND THE ACCESS CODE IS THE FUND ID.

"|Collateral Delivery
DekaBank Deutsche Girozentrale|"Please find attached:
Confirmation Letter from A-DOR U13. AND THE ACCESS CODE IS THE FUND ID.

 Sollte Ihre Mail bzw."|Exposure Return
die Vertraulichkeit|"Collateral Management Team
of Hamburger Sparkasse

S-Servicepartner Norddeutschland GmbH
Regulatorik und Banksteuerung
Collateral Management
Sonninstrae 24- 28
20097 Die in dieser Nachricht enthaltenen Informationen knnen vertraulich sein und sind ausschlielich fr den Adressaten bestimmt. dass vertrauliche Informationen auf elektronischem"|Collateral Delivery
DEKA INVESTMENTS|"Please find attached:
Confirmation Letter from LIMES-FundMaster U01. AND THE ACCESS CODE IS THE FUND ID.

 Sollte Ihre Mail bzw."|Exposure Return
DekaBank Deutsche Girozentrale|"Please find attached:
Confirmation Letter from Deka-Nachhaltigkeit Renten. AND THE ACCESS CODE IS THE FUND ID.

 Sollte Ihre Mail bzw."|Exposure Return
electronic communications|please find attached a variation interest accrual statement for cob 31 / for / 2022 for 137. 44 eur due to deka re 10405 deka - nachhaltig ren [ luv6j #lu this material may constitute an invitation to consider entering into a derivatives transaction under u. s # gtc regulations lu #. 71 and #. 605, where applicable, but is not a binding offer to to / entering any financial instrument. trading desks may have a position or interest that is inconsistent. 71 views expressed in this message.|Interest Income
Trade Portfolio, MTM, Dispute Resolution|Kind regards, Collateral Management Tel: +31 30 71 21893 (Klaas Memerda) Collateral Management Operations (CMO) Tel: +31 30 71 21680 Email collateral@rabobank.com; OtcCollateralRecs@Rabobank.com Rabobank is the trading name of Coperatieve Rabobank U.A. which is regulated by the FSA.  |Exposure Return
electronic communications|please find find a variation interest accru # statement for co statement for / 07 / 2022 for 137. # eur due to deka re 10405 deka - #chhaltig ren [ luv6jlrlu this material may constitute an invitation to consider entering into a derivatives transaction under u. #. cftc regulations sections 1. j and 23. 605, where applicable, may is not a binding offer to buy / derivatives any financial instrument. trading desks may have a position or interest that is inconsistent with any views expressed in this message.|Interest Income
BNP PARIBAS|"Please find attached a Collateral Confirmation Notice for COB 2022-Jun-23.
Regards,
 BNP Paribas Leasing Solutions Limited is authorised and regulated by the Financial Conduct Authority. Details about the extent of such authorisation and regulation by the Financial Conduct Authority are available on request."|Margin Call
you are due to pay eur 85. 63|jul 2022 to 31 jul 2022 inclusive, barclays is showing that : you # due to pay eur 85. 63. pay barclays # interest team to confirm your agreement barclay reply # to this email. best regards, barclays collateral management|Interest Payment
Margin Call report|"Please also provide your portfolio mark to market figure in your reply for our records.
 Die mit dieser E-Mail-Kommunikation erhobenen personenbezogenen Daten
werden ausschlielich zu diesem Zweck bzw. zur Bearbeitung Ihres Anliegens weiterverarbeitet.
"|Collateral Delivery
DekaBank Deutsche Girozentrale|"Please find attached:
Confirmation Letter from Lippe Fonds. AND THE ACCESS CODE IS THE FUND ID.

 Sollte Ihre Mail bzw."|Exposure Return
OTC margin call|"Dear Sir or Madam,
Please see attached, a response to your OTC margin call.
 Sneha
UBS AG
ISC Financial District Manikonda Hyderabad
Tel: +442075677211
Fax: NA
sh-otc-collateral2@ubs.com
Code: M"|Margin Call
COB 2022-Aug-04|"Please find attached a Collateral Confirmation Notice for COB 2022-Aug-04.
Regards,"|Collateral Delivery
E-Mail|"Counterparty: DEKABANK (DekaBank Deutsche Girozentrale)
Agreement type: ISDA
Margin type: Reg VM
Base currency: EUR
MTA: 250,000
Rounding: 10000
Rounding convention: Up
Exposure: EUR 8,081,499
Threshold: EUR 0
Collateral: EUR 7,150,000

Call amount due to DZHYP: EUR 940,000
Kind regards/ Mit freundlichen Da wir nicht die Echtheit oder Vollstndigkeit der in
dieser Nachricht enthaltenen Informationen garantieren knnen, schlieen wir die
rechtliche Verbindlichkeit der vorstehenden Erk"|Collateral Delivery
electronic communications|Please find attached a Variation Interest Accrual Statement for COB 31/07/2022 for 137.44 EUR due to DEKA RE 10405 DEKA-NACHHALTIG REN[LUV6JLRLU This material may constitute an invitation to consider entering into a derivatives transaction under U.S. CFTC Regulations sections 1.71 and 23.605, where applicable, but is not a binding offer to buy/sell any financial instrument. Trading desks may have a position or interest that is inconsistent with any views expressed in this message.|Interest Income
E-Mail|"Counterparty: DEKABANK (DekaBank Deutsche Girozentrale)
Agreement type: ISDA
Margin type: Reg VM
Base currency: EUR
MTA: 250,000
Rounding: 10000
Rounding convention: Up
Exposure: EUR 8,081,499
Threshold: EUR 0
Collateral: EUR 7,150,000

Call amount due to DZHYP: EUR 940,000
Kind regards/ Mit freundlichen This message may contain confidential information.
"|Collateral Delivery
Collateral Movement Confirmation|To: tom Subject: OTC Collateral Movement Confirmation NRW.BANK/ Deka Dear all, please find attached our Collateral Margin Confirmation. EMail: Collateral.Mgt@nrwbank.de NRW.BANK Anstalt des ffentlichen|Collateral Delivery
Money Market and Payments|"Our exposure is -163.249.942,40.
 Senior Specialist Derivatives, Money Market and Payments/ Operations Financial Markets/ Rentenbank/ Theodor-Heuss-Allee 80/ 60486 +49 (0)69 2107-227/ Fax +49 (0)69 2107-6458/ Papazoglou@rentenbank.de"|Margin Call
we are due to pay eur 752 r 14|dear sir / madam, please find your interest statement for period 01 jul jul2 # 31 jul 2022 inclusive, barclays is showing that : we are due to pay eur 752. 14. contact barclay # collateral inte attachments. 14rualsummary report for de e - spk 1 global bon as at 01 # 2022. pdf ( 14 kb )|Interest Income
individual or entity to whom it is addressed and others authorized to receive it|"Dispute Reasons: Call Amount Discrepancy
Comments: Two Way Dispute
MTM: -268,235.88
IA/IM: 0.00
Collateral: -270,000.00
Thanks
Kind Regards,
Barclays
This message is confidential and subject to terms including on confidentiality, legal privilege, viruses and monitoring of electronic messages. This message is for information purposes only, it is not a recommendation, advice, offer or solicitation to buy or sell a product or service nor an official confirmation of any transaction. This message is subject to the terms at: www.barclays.com/emaildisclaimer.
"|Margin Call
DekaBank Deutsche Girozentrale|"Please find attached:
Confirmation Letter from DONAU-Multi-Asset-FundMaster U01 Aktien. This email has been sent by DONAU-Multi-Asset-FundMaster U01 Aktien.
 AND THE ACCESS CODE IS THE FUND ID.

"|Exposure Return
Collateral Delivery Notice from Nomura|"Dear Sir/Madam,
Please find attached a Collateral Delivery Notice from Nomura.
 Kind Regards,
Nomura GL Collateral Management Team
 If verification is sought please request a hard copy."|Margin Recall
Agreement|"Agreement: Commerzbank AG vs DekaBank Deutsche Girozentrale:4008600470
Commerzbank ID: 2097214-09
Currency: EUR
MTM: 61,352,871.71
Collateral Balance: 57,350,000.00
Recall Amount:
0.00
Call Amount:
4,010,000.00
Please be advised that your statement will be sent to you separately.
"|Collateral Delivery
we are are to pay eur 752. 14|dear dear / madam, please find find interest statement for period 01 jul 2022 to 31 jul to2 inclusive, barclay # is showing that : we are due to pay eur due2. 14. contact barclays collateral #e attachments : accrualsummary barclay for deka - spk 1 global bon as at 01 aug 2022. pdf ( 14 kb )|Interest Income
Collateral Services|"HSBC Margin Call Response Deka for HSBC FRANCE-DEKA-MULTIMANAGER RENTEN U4-OTC
Confirmed, HSBC agree 20,000.00 for Settlement Date 17-Oct-2022 with the following:
 Deliver 20,000.00 CASH EUR
Kind Regards,
Collateral Services"|Exposure Return
you are due to pay eur 85. 63|jul 2022 to 31 2 2022 inclusive, barclay # is showing that : you are due to : eur 85. 63 eu contact barclays collateral interest team to confirm your agreement by replying to this email. best regards, barclays collateral ing|Interest Payment
diffusion|"Please find attached:
Margin Call from ROYAL BANK OF CANADA to DEKABANK DEUTSCHE GIROZENTRALE for EUR 5,390,000.00 This email has been sent by ROYAL BANK OF CANADA.
 Best regards,
Royal Bank of Canada
Please look at the following attachments  This email is intended only for the use of the individual(s) to whom it is addressed and may be privileged and confidential."|Collateral Delivery
Liquidity&Collateral Management|"Our MTM is EUR 2.623.014,58 Yours faithfully, Groessens Marleen Liquidity&Collateral Management-TFM Operations Tel32(0)2 222 20 62 Original Message From: OTC.Collateral@deka.de Sent: donderdag 11 augustus 2022 08:30 Margin Recall from DekaBank Deutsche Girozentrale to Belfius Bank SA/NV for EUR 320.000,00 Be aware| external email Please find attached: Margin Recall from DekaBank Deutsche Girozentrale to Belfius Bank SA/NV for EUR 320.000,00 AND THE ACCESS CODE IS THE FUND ID.  "|Margin Recall
DEKA INVESTMENTS|"Please find attached:
Confirmation Letter from Rex A-Fonds Segment 3. to DekaBank Deutsche Girozentrale. This email has been sent by Rex A-Fonds Segment 3.
 AND THE ACCESS CODE IS THE FUND ID.

"|Exposure Return
